API,Formula_API,MW_API,LogP_API,AlogP_API,HBA_API,HBD_API,TPSA_API,AMR_API,nRB_API,nAtom_API,nAcidicGroup_API,RC_API,nRigidB_API,nAromaticRings_API,nHB_API,E_API,Eaq_API,relE_API,relEaq_API,EHOMO_API,ELUMO_API,Dipole_API,SolvationE_API,Solubility_API,Acidicpka1_API,Acidicpka2_API,Acidicpka3_API,Acidicpka4_API,Basicpka1_API,Basicpka2_API,Basicpka3_API,Basicpka4_API,MeltingP_API,MW_Co,LogP_Co,AlogP_Co,HBA_Co,HBD_Co,TPSA_Co,AMR_Co,nRB_Co,nAtom_Co,nAcidicGroup_Co,RC_Co,nRigidB_Co,nAromaticRing_Co,nHB_Co,E_Co,Eaq_Co,relE_Co,relEaq_Co,EHOMO_Co,ELUMO_Co,Dipole_Co,SolvationE_Co,Solubility_Co,Acidicpka1_Co,Acidicpka2_Co,Acidicpka3_Co,Acidicpka4_Co,Basicpka1_Co,Basicpka2_Co,Basicpka3_Co,Basicpka4_Co,MeltingP_Co,Formation_Binary,Coformer,Formula_Co,Formation
Acyclovir,C₈H₁₁N₅O₃,225.208,-1.818,-1.165,8,3,114.76,36.88,4,27,0,2,13,1,11,-2127740.64,-2127927.45,0,0,-557.88,-53.18,5.32,-186.81,9.0964,11.98,15.1,0,0,3.02,-0.05,0,0,255,129.094,-0.668,-1.16,4,2,67.48,27.5,0,13,0,1,9,0,6,-1296626.23,-1296696.43,0,0,-574.82,-138,6.62,-70.202,7.9069,8.31,0,0,0,0.18,0,0,0,296,1,5-Fluorocytosine,C₄H₄FN₃O,CC
Acyclovir,C₈H₁₁N₅O₃,225.208,-1.818,-1.165,8,3,114.76,36.88,4,27,0,2,13,1,11,-2127740.64,-2127927.45,0,0,-557.88,-53.18,5.32,-186.81,9.0964,11.98,15.1,0,0,3.02,-0.05,0,0,255,132.115,-0.352,-0.698,4,2,74.6,26.45,4,17,2,0,4,0,6,-1302207.44,-1302243.65,0,0,-696.86,0.64,0.22,-36.22,37852.4867,3.76,4.56,0,0,0,0,0,0,97.8,1,glutaric acid,C₅H₈O₄,CC
Acyclovir,C₈H₁₁N₅O₃,225.208,-1.818,-1.165,8,3,114.76,36.88,4,27,0,2,13,1,11,-2127740.64,-2127927.45,0,0,-557.88,-53.18,5.32,-186.81,9.0964,11.98,15.1,0,0,3.02,-0.05,0,0,255,116.072,-0.416,-0.225,4,2,74.6,24.61,2,12,2,0,5,0,6,-1195834.61,-1195878.57,0,0,-709.27,-183.76,2.16,-43.96,6642.8356,2.85,5.72,0,0,0,0,0,0,130.5,0,maleic acid,C₄H₄O₄,S
Acyclovir,C₈H₁₁N₅O₃,225.208,-1.818,-1.165,8,3,114.76,36.88,4,27,0,2,13,1,11,-2127740.64,-2127927.45,0,0,-557.88,-53.18,5.32,-186.81,9.0964,11.98,15.1,0,0,3.02,-0.05,0,0,255,116.072,-0.416,-0.225,4,2,74.6,24.61,2,12,2,0,5,0,6,-1195834.61,-1195878.57,0,0,-709.27,-183.76,2.16,-43.96,6642.8356,3.35,4.22,0,0,0,0,0,0,287,0,fumaric acid,C₄H₄O₄,H
Albendazole,C₁₂H₁₅N₃O₂S,265.337,2.52,0.489,5,2,88.02,73.44,6,33,0,2,13,2,7,-3081743.54,0,0,0,0,0,0,0,0.0111,9.51,13.94,0,0,4.27,-1.81,0,0,209,154.121,1.045,-0.158,4,3,77.76,40.17,1,17,1,1,10,1,7,-1498946.45,-1499012.65,0,0,-565.23,-122.14,3.13,-66.203,3184.1063,1.64,13.26,14.57,0,0,0,0,0,165,0,"2,6-dihydroxybenzoic acid",C₇H₆O₄,S
Albendazole,C₁₂H₁₅N₃O₂S,265.337,2.52,0.489,5,2,88.02,73.44,6,33,0,2,13,2,7,-3081743.54,0,0,0,0,0,0,0,0.0111,9.51,13.94,0,0,4.27,-1.81,0,0,209,90.034,-0.688,-0.48,4,2,74.6,14.44,1,8,2,0,4,0,6,-992772.6,-992803.43,0,0,-718.06,-199.72,0.01,-30.83,21764.9932,1.36,4.11,0,0,0,0,0,0,189.5,0,oxalic acid,C₂H₂O₄,H
Albendazole,C₁₂H₁₅N₃O₂S,265.337,2.52,0.489,5,2,88.02,73.44,6,33,0,2,13,2,7,-3081743.54,0,0,0,0,0,0,0,0.0111,9.51,13.94,0,0,4.27,-1.81,0,0,209,158.177,-0.424,0.415,3,1,62.75,41.2,1,16,1,1,9,1,4,-2246835.63,-2246901.74,0,0,-716.45,-131.39,4.43,-66.12,1265.7947,-2.36,0,0,0,0,0,0,0,65,0,benzenesulfonic acid ,C₆H₆O₃S,H
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,122.123,0.982,0.968,2,1,37.3,36.96,1,15,1,1,8,1,3,-1104129.65,-1104150.7,0,0,-672.69,-134.33,1.91,-21.05,430.5498,4.08,0,0,0,0,0,0,0,122.4,1,benzoic acid,C₇H₆O₂,CC
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,137.138,-0.143,-0.229,3,2,63.32,40.5,1,17,1,1,9,1,5,-1249386.35,-1249426.55,0,0,-545.69,-83.06,4.01,-40.2,683.13,4.77,0,0,0,2.69,0,0,0,188.5,1,4-aminobenzoic acid,C₇H₇NO₂,CC
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,154.121,0.187,-0.158,4,3,77.76,40.17,1,17,1,1,10,1,7,-1498940.03,-1499000.38,0,0,-580.7,-135.61,1.61,-60.35,3184.1063,3.61,9.29,10.74,0,0,0,0,0,237,0,"3,5-dihydroxybenzoic acid",C₇H₆O₄,H
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,154.121,1.045,-0.158,4,3,77.76,40.17,1,17,1,1,10,1,7,-1498946.45,-1499012.65,0,0,-565.23,-122.14,3.13,-66.203,3184.1063,1.64,13.26,14.57,0,0,0,0,0,165,0,"2,6-dihydroxybenzoic acid",C₇H₆O₄,S
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,158.103,0.581,0.788,2,1,37.3,37.21,1,15,1,1,10,1,3,-1625033.01,-1625054.05,0,0,-668.17,-139.58,2.7,-21.038,158.104,2.53,0,0,0,0,0,0,0,159,1,"2,6-difluorobenzoic acid",C₇H₄F₂O₂,CC
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,158.103,0.581,0.788,2,1,37.3,37.21,1,15,1,1,10,1,3,-1625063.27,-1625072.73,0,0,-671.06,-179.02,1.34,-9.458,158.104,3.44,0,0,0,0,0,0,0,122,1,"3,5-difluorobenzoic acid",C₇H₄F₂O₂,CC
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,165.748,0.096,-1.841,4,4,80.92,10.26,2,20,0,1,10,1,8,-1533004.68,0,0,0,-654.91,-109.17,2.92,0,492.2626,8.22,9.05,10.73,11.64,0,0,0,0,0,1,"1,4-benzenediboronic acid /4-(dihydroxyboranyl)phenylboronic acid",C₆H₈B₂O₄,CC
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,137.93,0.483,-1.381,2,3,60.69,7.69,1,17,0,1,9,1,5,-1268534.62,0,0,0,-564.8,-35.06,2.18,0,129.5329,8.45,9.38,11.55,0,0,0,0,0,0,1,4-hydroxyphenyl boronic acid ,C₆H₇BO₃,CC
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,110.112,0.654,0.277,2,2,40.46,34.17,0,14,0,1,8,1,4,-1004060.81,-1004105.64,0,0,-507.12,-12.42,0,-44.83,33.3124,9.68,11.55,0,0,0,0,0,0,172.3,1,hydroquinone,C₆H₆O₂,CC
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,116.072,-0.416,-0.225,4,2,74.6,24.61,2,12,2,0,5,0,6,-1195834.61,-1195878.57,0,0,-709.27,-183.76,2.16,-43.96,6642.8356,3.35,4.22,0,0,0,0,0,0,287,0,fumaric acid,C₄H₄O₄,H
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,151.957,1.002,-0.972,2,2,49.69,12.44,2,20,0,1,9,1,4,-1371635.96,0,0,0,-567.72,-76.05,2.76,0,50.4599,8.66,10.93,0,0,0,0,0,0,0,1,3-methoxyphenyl boronic acid,C₇H₉BO₃,CC
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,287.079,2.213,-2.029,5,5,110.02,22.93,5,35,1,2,17,2,10,-2617908.54,0,0,0,-512.92,-133.03,2.38,0,4355.4595,3.59,8.83,11.13,0,0,0,0,0,0,0,4-dihydroxyboryl benzoic acid ,C₁₄H₁₄BNO₅,H
Alprazolam,C₁₇H₁₃ClN₄,308.772,3.228,1.598,4,0,40.32,95,1,35,0,4,24,3,4,-3502939.14,-3502987.03,0,0,-616.83,-186.13,5.44,-47.89,0.0238,0,0,0,0,5.01,1.45,0,0,228.75,171.776,-0.581,-1.251,4,4,109.16,18.05,2,17,0,1,9,1,8,-2375382.76,0,0,0,-634.95,-142.99,3.76,0,83.8251,7.48,8.36,9.88,10.85,0,0,0,0,0,0,5-(dihydroxyboranyl)thiophen-2-ylboronic acid,C₄H₆B₂O₄S,H
Bicalutamide,C₁₈H₁₄F₄N₂O₄S,430.378,0.225,1.21,6,2,115.64,102.28,7,43,0,2,23,2,8,-4992083.47,-4992134.72,0,0,-661.33,-196.7,8.88,-51.248,0.0052,11.78,13.22,15.05,0,0,0,0,0,192,182.226,0.366,-0.486,2,0,24.72,62.65,2,24,0,2,13,2,2,-1502681.13,-1502724.36,0,0,-631.79,-183.89,0,-43.224,1.9436,0,0,0,0,5.59,4.99,0,0,151,1,"1,2-bis(4-pyridyl)ethylene",C₁₂H₁₀N₂,CC
Bicalutamide,C₁₈H₁₄F₄N₂O₄S,430.378,0.225,1.21,6,2,115.64,102.28,7,43,0,2,23,2,8,-4992083.47,-4992134.72,0,0,-661.33,-196.7,8.88,-51.248,0.0052,11.78,13.22,15.05,0,0,0,0,0,192,156.188,-0.328,-0.954,2,0,24.72,52.33,1,20,0,2,12,2,2,-1299633.92,-1299672.76,0,0,-660.74,-152.98,0,-38.835,5.5565,0,0,0,0,5.25,4.44,0,0,111,1,"4,4'-bipyridine ",C₁₀H₈N₂,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,110.112,0.654,0.277,2,2,40.46,34.17,0,14,0,1,8,1,4,-1004060.81,-1004105.64,0,0,-507.12,-12.42,0,-44.83,33.3124,9.68,11.55,0,0,0,0,0,0,172.3,1,hydroquinone,C₆H₆O₂,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,45.041,-1.044,-0.704,2,1,43.09,8.79,0,6,0,0,2,0,3,-445776.55,-445811.15,0,0,-646.82,68.37,3.84,-34.6,320.7103,0,0,0,0,-0.71,0,0,0,2.55,0,formamide,CH₃NO,So
